"Object Number","Is Highlight","Is Public Domain","Object ID","Department","Object Name","Title","Culture","Period","Dynasty","Reign","Portfolio","Artist Role","Artist Prefix","Artist Display Name","Artist Display Bio","Artist Suffix","Artist Alpha Sort","Artist Nationality","Artist Begin Date","Artist End Date","Object Date","Object Begin Date","Object End Date","Medium","Dimensions","Credit Line","Geography Type","City","State","County","Country","Region","Subregion","Locale","Locus","Excavation","River","Classification","Rights and Reproduction","Link Resource","Metadata Date","Repository"
"36.30.285","False","False",323466,"Ancient Near Eastern Art","Knife blade","Knife blade","Sasanian","Sasanian","","","","","","","","","","","","","ca. 3rd–7th century A.D.",200,699,"Iron","2 7/8 in. (7.3 cm)","Rogers Fund, 1936","","","","","","Iran","Qasr-i Abu Nasr ","","","","","Metalwork-Implements","","http://www.metmuseum.org/art/collection/search/323466","7/31/2017 8:00:01 AM","Metropolitan Museum of Art, New York, NY"
"36.30.286","False","False",323467,"Ancient Near Eastern Art","Knife blade","Knife blade","Sasanian","Sasanian","","","","","","","","","","","","","ca. 3rd–7th century A.D.",200,699,"Iron","3 15/16 in. (10 cm)","Rogers Fund, 1936","","","","","","Iran","Qasr-i Abu Nasr ","","","","","Metalwork-Implements","","http://www.metmuseum.org/art/collection/search/323467","7/31/2017 8:00:01 AM","Metropolitan Museum of Art, New York, NY"
"36.30.287","False","False",323468,"Ancient Near Eastern Art","Knife blade","Knife blade","Sasanian","Sasanian","","","","","","","","","","","","","ca. 3rd–7th century A.D.",200,699,"Iron","4 5/16 in. (11 cm)","Rogers Fund, 1936","","","","","","Iran","Qasr-i Abu Nasr ","","","","","Metalwork-Implements","","http://www.metmuseum.org/art/collection/search/323468","7/31/2017 8:00:01 AM","Metropolitan Museum of Art, New York, NY"
"36.30.288a, b","False","False",323469,"Ancient Near Eastern Art","Nail","Nail","Sasanian","Sasanian","","","","","","","","","","","","","ca. 3rd–7th century A.D.",200,699,"Iron","3 3/4 in. (9.5 cm)","Rogers Fund, 1936","","","","","","Iran","Qasr-i Abu Nasr ","","","","","Metalwork-Implements","","http://www.metmuseum.org/art/collection/search/323469","7/31/2017 8:00:01 AM","Metropolitan Museum of Art, New York, NY"
"36.30.289","False","False",323470,"Ancient Near Eastern Art","Nail","Nail","Sasanian","Sasanian","","","","","","","","","","","","","ca. 3rd–7th century A.D.",200,699,"Iron","4 15/16 in. (12.5 cm)","Rogers Fund, 1936","","","","","","Iran","Qasr-i Abu Nasr ","","","","","Metalwork-Implements","","http://www.metmuseum.org/art/collection/search/323470","7/31/2017 8:00:01 AM","Metropolitan Museum of Art, New York, NY"
"36.30.290","False","False",323471,"Ancient Near Eastern Art","Clamp","Clamp","Sasanian","Sasanian","","","","","","","","","","","","","ca. 3rd–7th century A.D.",200,699,"Iron","3 1/8 in. (8 cm)","Rogers Fund, 1936","","","","","","Iran","Qasr-i Abu Nasr ","","","","","Metalwork-Implements","","http://www.metmuseum.org/art/collection/search/323471","7/31/2017 8:00:01 AM","Metropolitan Museum of Art, New York, NY"
"36.30.291","False","False",323472,"Ancient Near Eastern Art","Hook","Hook","Sasanian","Sasanian","","","","","","","","","","","","","ca. 3rd–7th century A.D.",200,699,"Iron","1 15/16 in. (5 cm)","Rogers Fund, 1936","","","","","","Iran","Qasr-i Abu Nasr ","","","","","Metalwork-Implements","","http://www.metmuseum.org/art/collection/search/323472","7/31/2017 8:00:01 AM","Metropolitan Museum of Art, New York, NY"
"36.30.292","False","False",323473,"Ancient Near Eastern Art","Hook","Hook","Sasanian","Sasanian","","","","","","","","","","","","","ca. 3rd–7th century A.D.",200,699,"Iron","3 1/8 in. (8 cm)","Rogers Fund, 1936","","","","","","Iran","Qasr-i Abu Nasr ","","","","","Metalwork-Implements","","http://www.metmuseum.org/art/collection/search/323473","7/31/2017 8:00:01 AM","Metropolitan Museum of Art, New York, NY"
"36.30.295","False","True",323474,"Ancient Near Eastern Art","Armor","Splint armor","Sasanian","Sasanian","","","","","","","","","","","","","ca. 3rd–7th century A.D.",200,699,"Iron, bronze","5 1/8 in. (13 cm)","Rogers Fund, 1936","","","","","","Iran","Qasr-i Abu Nasr ","","","","","Metalwork-Implements","","http://www.metmuseum.org/art/collection/search/323474","7/31/2017 8:00:01 AM","Metropolitan Museum of Art, New York, NY"
"36.30.296","False","True",323475,"Ancient Near Eastern Art","Coin","Dinar","Islamic","early Islamic","","","","","","","","","","","","","ca. A.D. 1177–94",1177,1194,"Gold (base)","15/16 in. (2.4 cm)","Rogers Fund, 1936","","","","","","Iran","Qasr-i Abu Nasr ","","","","","Metalwork-Coins-Inscribed","","http://www.metmuseum.org/art/collection/search/323475","7/31/2017 8:00:01 AM","Metropolitan Museum of Art, New York, NY"
"36.30.297","False","True",323476,"Ancient Near Eastern Art","Coin","Obol","Sasanian","Sasanian","","","","","","","","","","","","","ca. A.D. 241–72",241,245,"Silver","1/2 in. (1.2 cm)","Rogers Fund, 1936","","","","","","Iran","Qasr-i Abu Nasr ","","","","","Metalwork-Coins-Inscribed","","http://www.metmuseum.org/art/collection/search/323476","7/31/2017 8:00:01 AM","Metropolitan Museum of Art, New York, NY"
"36.30.298","False","True",323477,"Ancient Near Eastern Art","Coin","Obol","Sasanian","Sasanian","","","","","","","","","","","","","ca. A.D. 273–6",273,276,"Silver","1/2 in. (1.3 cm)","Rogers Fund, 1936","","","","","","Iran","Qasr-i Abu Nasr ","","","","","Metalwork-Coins-Inscribed","","http://www.metmuseum.org/art/collection/search/323477","7/31/2017 8:00:01 AM","Metropolitan Museum of Art, New York, NY"
"36.30.299","False","True",323478,"Ancient Near Eastern Art","Coin","Drachm","Parthian","Parthian","","","","","","","","","","","","","ca. 150–100 BC",-150,-100,"Silver","5/8 in. (1.6 cm)","Rogers Fund, 1936","","","","","","Iran","Qasr-i Abu Nasr ","","","","","Metalwork-Coins-Inscribed","","http://www.metmuseum.org/art/collection/search/323478","7/31/2017 8:00:01 AM","Metropolitan Museum of Art, New York, NY"
"36.30.300","False","True",323479,"Ancient Near Eastern Art","Coin","Drachm","Parthian","Parthian","","","","","","","","","","","","","ca. 1st century B.C.",-100,-1,"Silver","11/16 in. (1.7 cm)","Rogers Fund, 1936","","","","","","Iran","Qasr-i Abu Nasr ","","","","","Metalwork-Coins-Inscribed","","http://www.metmuseum.org/art/collection/search/323479","7/31/2017 8:00:01 AM","Metropolitan Museum of Art, New York, NY"
"36.30.301","False","True",323480,"Ancient Near Eastern Art","Coin","Coin, 1/6 unit","Sasanian","Sasanian","","","","","","","","","","","","","ca. A.D. 224–41",224,241,"Bronze","11/16 in. (1.7 cm)","Rogers Fund, 1936","","","","","","Iran","Qasr-i Abu Nasr ","","","","","Metalwork-Coins-Inscribed","","http://www.metmuseum.org/art/collection/search/323480","7/31/2017 8:00:01 AM","Metropolitan Museum of Art, New York, NY"
"36.30.302","False","True",323481,"Ancient Near Eastern Art","Coin","Dirhem","Islamic","early Islamic","","","","","","","","","","","","","ca. A.D. 689–90",689,690,"Silver","1 3/16 in. (3 cm)","Rogers Fund, 1936","","","","","","Iran","Qasr-i Abu Nasr ","","","","","Metalwork-Coins-Inscribed","","http://www.metmuseum.org/art/collection/search/323481","7/31/2017 8:00:01 AM","Metropolitan Museum of Art, New York, NY"
"36.30.303","False","True",323482,"Ancient Near Eastern Art","Coin","Coin, 1/6 unit","Sasanian","Sasanian","","","","","","","","","","","","","ca. A.D. 224–41",224,241,"Bronze","11/16 in. (1.7 cm)","Rogers Fund, 1936","","","","","","Iran","Qasr-i Abu Nasr ","","","","","Metalwork-Coins-Inscribed","","http://www.metmuseum.org/art/collection/search/323482","7/31/2017 8:00:01 AM","Metropolitan Museum of Art, New York, NY"
"36.30.304","False","True",323483,"Ancient Near Eastern Art","Coin","Dirhem","Islamic","early Islamic","","","","","","","","","","","","","ca. A.D. 688–9",688,689,"Silver","1 5/16 in. (3.3 cm)","Rogers Fund, 1936","","","","","","Iran","Qasr-i Abu Nasr ","","","","","Metalwork-Coins-Inscribed","","http://www.metmuseum.org/art/collection/search/323483","7/31/2017 8:00:01 AM","Metropolitan Museum of Art, New York, NY"
"36.30.305","False","True",323484,"Ancient Near Eastern Art","Coin","Dirhem","Islamic","early Islamic","","","","","","","","","","","","","ca. A.D. 689–90",689,690,"Silver","1 1/4 in. (3.2 cm)","Rogers Fund, 1936","","","","","","Iran","Qasr-i Abu Nasr ","","","","","Metalwork-Coins-Inscribed","","http://www.metmuseum.org/art/collection/search/323484","7/31/2017 8:00:01 AM","Metropolitan Museum of Art, New York, NY"
"36.30.306","False","True",323485,"Ancient Near Eastern Art","Coin","Drachm","Sasanian","Sasanian","","","","","","","","","","","","","ca. A.D. 629",629,629,"Silver","1 3/8 in. (3.5 cm)","Rogers Fund, 1936","","","","","","Iran","Qasr-i Abu Nasr ","","","","","Metalwork-Coins-Inscribed","","http://www.metmuseum.org/art/collection/search/323485","7/31/2017 8:00:01 AM","Metropolitan Museum of Art, New York, NY"
"36.30.307","False","True",323486,"Ancient Near Eastern Art","Coin","Dirhem","Islamic","early Islamic","","","","","","","","","","","","","A.D. 677/58 A.H.",677,677,"Silver","1 1/4 in. (3.2 cm)","Rogers Fund, 1936","","","","","","Iran","Qasr-i Abu Nasr ","","","","","Metalwork-Coins-Inscribed","","http://www.metmuseum.org/art/collection/search/323486","7/31/2017 8:00:01 AM","Metropolitan Museum of Art, New York, NY"
"36.30.308","False","True",323487,"Ancient Near Eastern Art","Coin","Fals","Islamic","early Islamic","","","","","","","","","","","","","A.D. 762–763/145 A.H.",762,763,"Bronze","7/8 in. (2.2 cm)","Rogers Fund, 1936","","","","","","Iran","Qasr-i Abu Nasr ","","","","","Metalwork-Coins-Inscribed","","http://www.metmuseum.org/art/collection/search/323487","7/31/2017 8:00:01 AM","Metropolitan Museum of Art, New York, NY"
"36.30.309","False","True",323488,"Ancient Near Eastern Art","Coin","Fals","Islamic","early Islamic","","","","","","","","","","","","","A.D. 777–778/161 A.H.",777,778,"Copper","7/8 in. (2.3 cm)","Rogers Fund, 1936","","","","","","Iran","Qasr-i Abu Nasr ","","","","","Metalwork-Coins-Inscribed","","http://www.metmuseum.org/art/collection/search/323488","7/31/2017 8:00:01 AM","Metropolitan Museum of Art, New York, NY"
"36.30.310","False","True",323489,"Ancient Near Eastern Art","Coin","Coin","Islamic","early Islamic","","","","","","","","","","","","","ca. 7th–8th century A.D.",7,7,"Copper","9/16 in. (1.4 cm)","Rogers Fund, 1936","","","","","","Iran","Qasr-i Abu Nasr ","","","","","Metalwork-Coins-Inscribed","","http://www.metmuseum.org/art/collection/search/323489","7/31/2017 8:00:01 AM","Metropolitan Museum of Art, New York, NY"
"36.30.311","False","True",323490,"Ancient Near Eastern Art","Coin","Coin","Islamic","early Islamic","","","","","","","","","","","","","A.D. 686–687 (?)/67 A.H. (?)",686,687,"Copper","1 in. (2.5 cm)","Rogers Fund, 1936","","","","","","Iran","Qasr-i Abu Nasr ","","","","","Metalwork-Coins-Inscribed","","http://www.metmuseum.org/art/collection/search/323490","7/31/2017 8:00:01 AM","Metropolitan Museum of Art, New York, NY"
"36.30.312","False","True",323491,"Ancient Near Eastern Art","Coin","Coin","Islamic","early Islamic","","","","","","","","","","","","","A.D. 684–685/65 A.H.",684,685,"Copper","7/8 in. (2.3 cm)","Rogers Fund, 1936","","","","","","Iran","Qasr-i Abu Nasr ","","","","","Metalwork-Coins-Inscribed","","http://www.metmuseum.org/art/collection/search/323491","7/31/2017 8:00:01 AM","Metropolitan Museum of Art, New York, NY"
"36.30.313","False","True",323492,"Ancient Near Eastern Art","Coin","Coin","Islamic","early Islamic","","","","","","","","","","","","","ca. 7th–8th century A.D.",7,7,"Copper","7/8 in. (2.3 cm)","Rogers Fund, 1936","","","","","","Iran","Qasr-i Abu Nasr ","","","","","Metalwork-Coins-Inscribed","","http://www.metmuseum.org/art/collection/search/323492","7/31/2017 8:00:01 AM","Metropolitan Museum of Art, New York, NY"
"36.30.314","False","True",323493,"Ancient Near Eastern Art","Coin","Coin","Islamic","early Islamic","","","","","","","","","","","","","A.D. 684–685/65 A.H.",684,685,"Copper","7/8 in. (2.2 cm)","Rogers Fund, 1936","","","","","","Iran","Qasr-i Abu Nasr ","","","","","Metalwork-Coins-Inscribed","","http://www.metmuseum.org/art/collection/search/323493","7/31/2017 8:00:01 AM","Metropolitan Museum of Art, New York, NY"
"36.30.315","False","True",323494,"Ancient Near Eastern Art","Coin","Coin","Islamic","early Islamic","","","","","","","","","","","","","A.D. 691–692 (?)/72 A.H. (?)",691,692,"Bronze","7/8 in. (2.2 cm)","Rogers Fund, 1936","","","","","","Iran","Qasr-i Abu Nasr ","","","","","Metalwork-Coins-Inscribed","","http://www.metmuseum.org/art/collection/search/323494","7/31/2017 8:00:01 AM","Metropolitan Museum of Art, New York, NY"
"36.30.316","False","True",323495,"Ancient Near Eastern Art","Coin","Coin","Islamic","early Islamic","","","","","","","","","","","","","A.D. 684–685/65 A.H.",684,685,"Copper","15/16 in. (2.4 cm)","Rogers Fund, 1936","","","","","","Iran","Qasr-i Abu Nasr ","","","","","Metalwork-Coins-Inscribed","","http://www.metmuseum.org/art/collection/search/323495","7/31/2017 8:00:01 AM","Metropolitan Museum of Art, New York, NY"
"36.30.317","False","True",323496,"Ancient Near Eastern Art","Coin","Coin","Islamic","early Islamic","","","","","","","","","","","","","A.D. 684–685/65 A.H.",684,685,"Copper","15/16 in. (2.4 cm)","Rogers Fund, 1936","","","","","","Iran","Qasr-i Abu Nasr ","","","","","Metalwork-Coins-Inscribed","","http://www.metmuseum.org/art/collection/search/323496","7/31/2017 8:00:01 AM","Metropolitan Museum of Art, New York, NY"
"36.30.318","False","True",323497,"Ancient Near Eastern Art","Coin","Coin","Islamic","early Islamic","","","","","","","","","","","","","A.D. 684–685/65 A.H.",684,685,"Copper","7/8 in. (2.3 cm)","Rogers Fund, 1936","","","","","","Iran","Qasr-i Abu Nasr ","","","","","Metalwork-Coins-Inscribed","","http://www.metmuseum.org/art/collection/search/323497","7/31/2017 8:00:01 AM","Metropolitan Museum of Art, New York, NY"
"36.30.319","False","True",323498,"Ancient Near Eastern Art","Coin","Coin","Islamic","early Islamic","","","","","","","","","","","","","A.D. 684–685/65 A.H.",684,685,"Copper","7/8 in. (2.2 cm)","Rogers Fund, 1936","","","","","","Iran","Qasr-i Abu Nasr ","","","","","Metalwork-Coins-Inscribed","","http://www.metmuseum.org/art/collection/search/323498","7/31/2017 8:00:01 AM","Metropolitan Museum of Art, New York, NY"
"36.30.320","False","True",323499,"Ancient Near Eastern Art","Coin","Coin","Islamic","early Islamic","","","","","","","","","","","","","A.D. 684–685/65 A.H.",684,685,"Copper","7/8 in. (2.2 cm)","Rogers Fund, 1936","","","","","","Iran","Qasr-i Abu Nasr ","","","","","Metalwork-Coins-Inscribed","","http://www.metmuseum.org/art/collection/search/323499","7/31/2017 8:00:01 AM","Metropolitan Museum of Art, New York, NY"
"36.30.321","False","True",323500,"Ancient Near Eastern Art","Coin","Coin","Islamic","early Islamic","","","","","","","","","","","","","A.D. 684–685/65 A.H.",684,685,"Copper","7/8 in. (2.2 cm)","Rogers Fund, 1936","","","","","","Iran","Qasr-i Abu Nasr ","","","","","Metalwork-Coins-Inscribed","","http://www.metmuseum.org/art/collection/search/323500","7/31/2017 8:00:01 AM","Metropolitan Museum of Art, New York, NY"
"36.30.322","False","True",323501,"Ancient Near Eastern Art","Coin","Coin","Islamic","early Islamic","","","","","","","","","","","","","A.D. 684–685/65 A.H.",684,685,"Copper","13/16 in. (2.1 cm)","Rogers Fund, 1936","","","","","","Iran","Qasr-i Abu Nasr ","","","","","Metalwork-Coins-Inscribed","","http://www.metmuseum.org/art/collection/search/323501","7/31/2017 8:00:01 AM","Metropolitan Museum of Art, New York, NY"
"36.30.323","False","True",323502,"Ancient Near Eastern Art","Coin","Coin","Islamic","early Islamic","","","","","","","","","","","","","A.D. 684–685/65 A.H.",684,685,"Copper","7/8 in. (2.2 cm)","Rogers Fund, 1936","","","","","","Iran","Qasr-i Abu Nasr ","","","","","Metalwork-Coins-Inscribed","","http://www.metmuseum.org/art/collection/search/323502","7/31/2017 8:00:01 AM","Metropolitan Museum of Art, New York, NY"
"36.30.324","False","True",323503,"Ancient Near Eastern Art","Coin","Coin","Islamic","early Islamic","","","","","","","","","","","","","A.D. 684–685/65 A.H.",684,685,"Copper","13/16 in. (2.1 cm)","Rogers Fund, 1936","","","","","","Iran","Qasr-i Abu Nasr ","","","","","Metalwork-Coins-Inscribed","","http://www.metmuseum.org/art/collection/search/323503","7/31/2017 8:00:01 AM","Metropolitan Museum of Art, New York, NY"
"36.30.325","False","True",323504,"Ancient Near Eastern Art","Coin","Coin","Chinese","Sung Dynasty","","","","","","","","","","","","","ca. A.D. 1068–77",1068,1077,"Copper","1 in. (2.5 cm)","Rogers Fund, 1936","","","","","","Iran","Qasr-i Abu Nasr ","","","","","Metalwork-Coins-Inscribed","","http://www.metmuseum.org/art/collection/search/323504","7/31/2017 8:00:01 AM","Metropolitan Museum of Art, New York, NY"
"36.30.326","False","True",323505,"Ancient Near Eastern Art","Coin","Coin","Islamic","early Islamic","","","","","","","","","","","","","ca. 7th–8th century A.D.",7,7,"Copper","1 in. (2.6 cm)","Rogers Fund, 1936","","","","","","Iran","Qasr-i Abu Nasr ","","","","","Metalwork-Coins-Inscribed","","http://www.metmuseum.org/art/collection/search/323505","7/31/2017 8:00:01 AM","Metropolitan Museum of Art, New York, NY"
"36.30.327","False","True",323506,"Ancient Near Eastern Art","Coin","Fals","Islamic","early Islamic","","","","","","","","","","","","","A.D. 777/161 A.H.",777,777,"Copper","13/16 in. (2 cm)","Rogers Fund, 1936","","","","","","Iran","Qasr-i Abu Nasr ","","","","","Metalwork-Coins-Inscribed","","http://www.metmuseum.org/art/collection/search/323506","7/31/2017 8:00:01 AM","Metropolitan Museum of Art, New York, NY"
"36.30.328","False","True",323507,"Ancient Near Eastern Art","Coin","Fals","Islamic","early Islamic","","","","","","","","","","","","","A.D. 777/161 A.H.",777,777,"Copper","7/8 in. (2.2 cm)","Rogers Fund, 1936","","","","","","Iran","Qasr-i Abu Nasr ","","","","","Metalwork-Coins-Inscribed","","http://www.metmuseum.org/art/collection/search/323507","7/31/2017 8:00:01 AM","Metropolitan Museum of Art, New York, NY"
"36.30.329","False","True",323508,"Ancient Near Eastern Art","Coin","Obol (?)","Sasanian","Sasanian","","","","","","","","","","","","","ca. A.D. 224",224,224,"Silver","1/2 in. (1.3 cm)","Rogers Fund, 1936","","","","","","Iran","Qasr-i Abu Nasr ","","","","","Metalwork-Coins-Inscribed","","http://www.metmuseum.org/art/collection/search/323508","7/31/2017 8:00:01 AM","Metropolitan Museum of Art, New York, NY"
"36.30.330","False","True",323509,"Ancient Near Eastern Art","Coin","Coin","Parthian","Parthian","","","","","","","","","","","","","ca. 1st century B.C.–A.D. 3rd century",-100,300,"Silver","9/16 in. (1.4 cm)","Rogers Fund, 1936","","","","","","Iran","Qasr-i Abu Nasr ","","","","","Metalwork-Coins-Inscribed","","http://www.metmuseum.org/art/collection/search/323509","7/31/2017 8:00:01 AM","Metropolitan Museum of Art, New York, NY"
"36.30.331","False","True",323510,"Ancient Near Eastern Art","Coin","Coin","Parthian","Parthian","","","","","","","","","","","","","ca. 1st century B.C.–A.D. 3rd century",-100,300,"Silver","9/16 in. (1.4 cm)","Rogers Fund, 1936","","","","","","Iran","Qasr-i Abu Nasr ","","","","","Metalwork-Coins-Inscribed","","http://www.metmuseum.org/art/collection/search/323510","7/31/2017 8:00:01 AM","Metropolitan Museum of Art, New York, NY"
"36.30.332","False","True",323511,"Ancient Near Eastern Art","Coin","Obol","Parthian","Parthian","","","","","","","","","","","","","ca. 150–100 B.C.",-150,-100,"Silver","3/8 in. (0.9 cm)","Rogers Fund, 1936","","","","","","Iran","Qasr-i Abu Nasr ","","","","","Metalwork-Coins-Inscribed","","http://www.metmuseum.org/art/collection/search/323511","7/31/2017 8:00:01 AM","Metropolitan Museum of Art, New York, NY"
"36.30.333","False","True",323512,"Ancient Near Eastern Art","Coin","Obol","Parthian","Parthian","","","","","","","","","","","","","ca. 1st century B.C.",-100,-1,"Silver","3/8 in. (1 cm)","Rogers Fund, 1936","","","","","","Iran","Qasr-i Abu Nasr ","","","","","Metalwork-Coins-Inscribed","","http://www.metmuseum.org/art/collection/search/323512","7/31/2017 8:00:01 AM","Metropolitan Museum of Art, New York, NY"
"36.30.334","False","True",323513,"Ancient Near Eastern Art","Coin","Coin","Parthian","Parthian","","","","","","","","","","","","","ca. 1st century B.C.–A.D. 3rd century",-100,300,"Silver","3/8 in. (0.9 cm)","Rogers Fund, 1936","","","","","","Iran","Qasr-i Abu Nasr ","","","","","Metalwork-Coins-Inscribed","","http://www.metmuseum.org/art/collection/search/323513","7/31/2017 8:00:01 AM","Metropolitan Museum of Art, New York, NY"
"36.30.335","False","True",323514,"Ancient Near Eastern Art","Coin","Coin","Islamic","early Islamic","","","","","","","","","","","","","ca. 7th–8th century A.D.",7,7,"Bronze","3/4 in. (1.9 cm)","Rogers Fund, 1936","","","","","","Iran","Qasr-i Abu Nasr ","","","","","Metalwork-Coins-Inscribed","","http://www.metmuseum.org/art/collection/search/323514","7/31/2017 8:00:01 AM","Metropolitan Museum of Art, New York, NY"
"36.30.336","False","True",323515,"Ancient Near Eastern Art","Coin","Coin","Islamic","early Islamic","","","","","","","","","","","","","A.D. 684–685/65 A.H.",684,685,"Copper","7/8 in. (2.2 cm)","Rogers Fund, 1936","","","","","","Iran","Qasr-i Abu Nasr ","","","","","Metalwork-Coins-Inscribed","","http://www.metmuseum.org/art/collection/search/323515","7/31/2017 8:00:01 AM","Metropolitan Museum of Art, New York, NY"
"36.30.337","False","True",323516,"Ancient Near Eastern Art","Coin","Coin","Islamic","early Islamic","","","","","","","","","","","","","ca. 7th–8th century A.D.",7,7,"Bronze","13/16 in. (2 cm)","Rogers Fund, 1936","","","","","","Iran","Qasr-i Abu Nasr ","","","","","Metalwork-Coins-Inscribed","","http://www.metmuseum.org/art/collection/search/323516","7/31/2017 8:00:01 AM","Metropolitan Museum of Art, New York, NY"
"36.30.338a, b","False","True",323517,"Ancient Near Eastern Art","Sickle","Sickle blade","Sasanian","Sasanian","","","","","","","","","","","","","ca. 3rd–7th century A.D.",200,699,"Iron","1.97 x 9.65 in. (5 x 24.51 cm)","Rogers Fund, 1936","","","","","","Iran","Qasr-i Abu Nasr ","","","","","Metalwork-Implements","","http://www.metmuseum.org/art/collection/search/323517","7/31/2017 8:00:01 AM","Metropolitan Museum of Art, New York, NY"
"36.70.37a1","False","True",323518,"Ancient Near Eastern Art","Furniture element","Furniture element","Old Assyrian Trading Colony","Middle Bronze Age–Old Assyrian Trading Colony","","","","","","","","","","","","","ca. 18th century B.C.",-1800,-1700,"Ivory","1.1 x 1.71 x 0.13 in. (2.79 x 4.34 x 0.33 cm)","Gift of Mrs. George D. Pratt, in memory of George D. Pratt, 1936","","","","","","Anatolia","probably from Acemhöyük","","","","","Ivory/Bone-Ornaments","","http://www.metmuseum.org/art/collection/search/323518","7/31/2017 8:00:01 AM","Metropolitan Museum of Art, New York, NY"
"36.70.16a–c","False","True",323519,"Ancient Near Eastern Art","Furniture element","Furniture element","Old Assyrian Trading Colony","Middle Bronze Age–Old Assyrian Trading Colony","","","","","","","","","","","","","ca. 18th century B.C.",-1800,-1700,"Ivory","3.41 x 4.09 x 2.68 in. (8.66 x 10.39 x 6.81 cm)","Gift of Mrs. George D. Pratt, in memory of George D. Pratt, 1936","","","","","","Anatolia","probably from Acemhöyük","","","","","Ivory/Bone-Reliefs","","http://www.metmuseum.org/art/collection/search/323519","7/31/2017 8:00:01 AM","Metropolitan Museum of Art, New York, NY"
"36.70.1","False","True",323520,"Ancient Near Eastern Art","Furniture support","Furniture support: female sphinx with Hathor-style curls","Old Assyrian Trading Colony","Middle Bronze Age–Old Assyrian Trading Colony","","","","","","","","","","","","","ca. 18th century B.C.",-1800,-1700,"Ivory (hippopotamus), gold foil","4.88 x 1.44 in. (12.4 x 3.66 cm)","Gift of Mrs. George D. Pratt, in memory of George D. Pratt, 1936","","","","","","Anatolia","probably from Acemhöyük","","","","","Ivory/Bone-Sculpture","","http://www.metmuseum.org/art/collection/search/323520","7/31/2017 8:00:01 AM","Metropolitan Museum of Art, New York, NY"
"36.70.2","False","True",323521,"Ancient Near Eastern Art","Furniture element","Furniture element","Old Assyrian Trading Colony","Middle Bronze Age–Old Assyrian Trading Colony","","","","","","","","","","","","","ca. 18th century B.C.",-1800,-1700,"Ivory (hippopotamus)","H. 1.3 cm x Diam. 2.7 cm","Gift of Mrs. George D. Pratt, in memory of George D. Pratt, 1936","","","","","","Anatolia","probably from Acemhöyük","","","","","Ivory/Bone-Ornaments","","http://www.metmuseum.org/art/collection/search/323521","7/31/2017 8:00:01 AM","Metropolitan Museum of Art, New York, NY"
"36.70.3","False","True",323522,"Ancient Near Eastern Art","Furniture element","Furniture element: bull-man with Hathor-style curls","Old Assyrian Trading Colony","Middle Bronze Age–Old Assyrian Trading Colony","","","","","","","","","","","","","ca. 18th century B.C.",-1800,-1700,"Ivory (hippopotamus)","2.17 x 0.98 in. (5.51 x 2.49 cm)","Gift of Mrs. George D. Pratt, in memory of George D. Pratt, 1936","","","","","","Anatolia","probably from Acemhöyük","","","","","Ivory/Bone-Sculpture","","http://www.metmuseum.org/art/collection/search/323522","7/31/2017 8:00:01 AM","Metropolitan Museum of Art, New York, NY"
"36.70.4","False","True",323523,"Ancient Near Eastern Art","Furniture element","Furniture plaque: deer","Old Assyrian Trading Colony","Middle Bronze Age–Old Assyrian Trading Colony","","","","","","","","","","","","","ca. 18th century B.C.",-1800,-1700,"Ivory (hippopotamus)","1.5 x 2.5 x 1.44 in. (3.81 x 6.35 x 3.66 cm)","Gift of Mrs. George D. Pratt, in memory of George D. Pratt, 1936","","","","","","Anatolia","probably from Acemhöyük","","","","","Ivory/Bone-Reliefs","","http://www.metmuseum.org/art/collection/search/323523","7/31/2017 8:00:01 AM","Metropolitan Museum of Art, New York, NY"
"36.70.5","False","True",323524,"Ancient Near Eastern Art","Furniture leg","Furniture leg, lion's paw","Old Assyrian Trading Colony","Middle Bronze Age–Old Assyrian Trading Colony","","","","","","","","","","","","","ca. 18th century B.C.",-1800,-1700,"Ivory","2.01 x 3.2 in. (5.11 x 8.13 cm)","Gift of Mrs. George D. Pratt, in memory of George D. Pratt, 1936","","","","","","Anatolia","probably from Acemhöyük","","","","","Ivory/Bone-Sculpture","","http://www.metmuseum.org/art/collection/search/323524","7/31/2017 8:00:01 AM","Metropolitan Museum of Art, New York, NY"
"36.70.6","False","True",323525,"Ancient Near Eastern Art","Furniture element","Furniture plaque: hawk","Old Assyrian Trading Colony","Middle Bronze Age–Old Assyrian Trading Colony","","","","","","","","","","","","","ca. 18th century B.C.",-1800,-1700,"Ivory (hippopotamus)","4.41 x 2.28 in. (11.2 x 5.79 cm)","Gift of Mrs. George D. Pratt, in memory of George D. Pratt, 1936","","","","","","Anatolia","probably from Acemhöyük","","","","","Ivory/Bone-Reliefs","","http://www.metmuseum.org/art/collection/search/323525","7/31/2017 8:00:01 AM","Metropolitan Museum of Art, New York, NY"
